namespace,cbb_items
SCRNITM#rgstrnDept,Registration Department
SCRNITM#rgstrnDt,Registration Date
SCRNITM#rgstrnHms,Registration Hhmmss
SCRNITM#rgstrnInfo,Registration Info.
SCRNITM#rgstrnStaff,Registration Staff
SCRNITM#rgstrnStsCd,
SCRNITM#rgstrnTm,Registration Time
SCRNITM#risk,Risk
SCRNITM#riskApptite,Risk Appetite
SCRNITM#riskApptt,Risk Appetite
SCRNITM#riskLvlDscd,Risk Level Distinction Code
SCRNITM#riskPatent,Risk Patent
SCRNITM#riskPd1,Very low risk products
SCRNITM#riskPd2,Low risk products
SCRNITM#riskPd3,Moderate risk products
SCRNITM#riskPd4,High risk products
SCRNITM#riskPd5,Very high risk products
SCRNITM#riskPdDesc1,1. Very low risk products : financial management products that guarantees benefits and the products with low risk to fail reaching the anticipated benefits.
SCRNITM#riskPdDesc2,2. Low risk products : products that guarantees no loss of principal and with low rate of failing anticipated benefits.
SCRNITM#riskPdDesc3,3. Moderate risk products : products with little probability of principal loss and of which uncertainty of reaching anticipated benefit exists.
SCRNITM#riskPdDesc4,4. High risk products : products with possible principal loss and highly variable benefits.
SCRNITM#riskPdDesc5,5. Very high risk products : products with high probability of principal loss and highly variable benefits.
SCRNITM#rjctDt,Reject Date
SCRNITM#rjctRsn,Reject Reason
SCRNITM#rjctdRsn,Rejected Reason
SCRNITM#rjctdRsnCd,Rejected Reason Code
SCRNITM#rjctdRsnCntnt,Rejected Reason Content
SCRNITM#rlstOfLnAprvl,Result of Loan Approval
SCRNITM#rltdAcct,Related Account
SCRNITM#rltdAcctRprting,Related Account Reporting
SCRNITM#rltdAcctSts,Related Account Status
SCRNITM#rltdAcctgItmCd,Relative Accout
SCRNITM#rltdAtrbtDscd,Related Attribute Distinction
SCRNITM#rltdAtrbtTpCd,Related Attribute Type
SCRNITM#rltdCaseMgmt,Related Case Management
SCRNITM#rltdCrncyCd,Relative Accout
SCRNITM#rltdCust,Related Customer
SCRNITM#rltdCustNm,Related Customer Name
SCRNITM#rltdDept,related department
SCRNITM#rltdDeptNm,Related Department Name
SCRNITM#rltdDoc,Related Documents
SCRNITM#rltdLnCntnt,related loan content
SCRNITM#rltdPd,Related Product
SCRNITM#rltdPersonId,Related Person ID
SCRNITM#rltdStaffId,Related Staff Identification
SCRNITM#rltdStaffNm,Related Staff Name
SCRNITM#rltdThing,
SCRNITM#rltdThingMgmt,Related Thing Management
SCRNITM#rltdThingSetInfo,Related Thing Set Information
SCRNITM#rlteStaff,Related Staff
SCRNITM#rltvCorp,Relative Corporate
SCRNITM#rltvDept,relative department
SCRNITM#rmNbr,Rm Number
SCRNITM#rmbrId,Remember Id
SCRNITM#rmk,Remark
SCRNITM#rmkCntnt,Remark
SCRNITM#rmnGoods,remain goods
SCRNITM#rmnInstlmntCnt,Remain Installment Count
SCRNITM#rmndBal,Remained Balance
SCRNITM#rmngAmt,Remaining Amount
SCRNITM#rmngTaxStdAmt,Remaining Taxation Standard Amount
SCRNITM#rng,range
SCRNITM#rnsmry,Run Summary
SCRNITM#role,Role
SCRNITM#roleAttr,Role Attribute
SCRNITM#roleCntnt,Role Content
SCRNITM#roleInfo,role information
SCRNITM#roleList,Role List
SCRNITM#roleSetting,Role Setting
SCRNITM#roleSrch,Role Search
SCRNITM#roleStartDt,Role Start Date
SCRNITM#roleSts,Role Status
SCRNITM#roleTmpltId,Role Template Identification
SCRNITM#roleTmpltNm,Role Template Name
SCRNITM#roleTmpltSts,Role Template Status
SCRNITM#roleTmpltStsCd,Role Template Status Code
SCRNITM#roleTp,Role Type
SCRNITM#rpdInstlmntCnt,Repaid Installment Count
SCRNITM#rpptA0,over 60
SCRNITM#rpptA1,less then 50 thousand Yuan
SCRNITM#rpptA10,I invest on saving deposits, national bonds, bank finance management products, trust goods, funds and stocks equally.
SCRNITM#rpptA10-1,Benefit hasn't reached the goal amount though there was no principal loss.
SCRNITM#rpptA10-2,A little bit of principal loss is occurred.
SCRNITM#rpptA10-3,less than 10 % of principal loss has occurred.
SCRNITM#rpptA10-4,20-50% of principal loss has occurred.
SCRNITM#rpptA10-5,More than 50% of principal loss has occurred.
SCRNITM#rpptA11,I invest mostly on stocks, funds and foreign exchange and the other on saving deposits or state bonds.
SCRNITM#rpptA2,50 thousand-20 thousand Yuan
SCRNITM#rpptA3,20 thousand-50 thousand Yuan
SCRNITM#rpptA4,50 thousand-1 million Yuan
SCRNITM#rpptA5,over 1 million Yuan
SCRNITM#rpptA5-1,No experience
SCRNITM#rpptA5-2,less than 2 years
SCRNITM#rpptA5-3,2-5 years
SCRNITM#rpptA5-4,5-8 years
SCRNITM#rpptA5-5,more than 8 years
SCRNITM#rpptA6,less than 10%
SCRNITM#rpptA6-1,Benefit is guaranteed without principal loss.
SCRNITM#rpptA6-2,Invest in conservative way and principal loss is not desirable. Able to bear affordable principal loss.
SCRNITM#rpptA6-3,high benefit is guaranteed and principal loss in certain limits is affordable.
SCRNITM#rpptA6-4,High benefit is guaranteed and principal loss is affordable.
SCRNITM#rpptA7,over 50%
SCRNITM#rpptA7-1,Able to gain 100 Yuan benefit in 100% probability.
SCRNITM#rpptA7-2,Able to gain 50 thousand Yuan benefit in 50% probability.
SCRNITM#rpptA7-3,Able to gain 500 thousand Yuan in 25% probability.
SCRNITM#rpptA7-4,Able to gain 1 million Yuan benefit in 10% probability.
SCRNITM#rpptA8,I don't invest on financial products other than saving deposits or national bonds.
SCRNITM#rpptA8-1,less than a year
SCRNITM#rpptA8-2,1-3 years
SCRNITM#rpptA8-3,3-5 years
SCRNITM#rpptA8-4,more than 5 years
SCRNITM#rpptA9,I invest mostly on saving deposits or national funds, and the other to funds or stocks.
SCRNITM#rpptA9-1,maintaing capital
SCRNITM#rpptA9-2,Increasing capital
SCRNITM#rpptA9-3,increasing capital rapidly
SCRNITM#rpptQ1,1. What is your age?
SCRNITM#rpptQ10,10. How much loss in principal can you bear ?
SCRNITM#rpptQ2,2. How much is the annual income of your whole family?(in Yuan)
SCRNITM#rpptQ3,3. How much rate are you planning to invest among the whole financial capital(except savings)?
SCRNITM#rpptQ4,4. Among the following descriptions, what is the most closest to your investment habit?
SCRNITM#rpptQ5,5. How many years have you invested on the products with risks such as stocks, funds, foreign exchange or derivatives?
SCRNITM#rpptQ6,6. Among following descriptions, which is the most closest to your investing habits?
SCRNITM#rpptQ7,7. What would you choose among the following circumstances?
SCRNITM#rpptQ8,8. How long are you planning to invest your capital?
SCRNITM#rpptQ9,9. What is the purpose of your investment?
SCRNITM#rprcsngWaitingHms,Re-Processing Waiting Time
SCRNITM#rprsnAgrmnt,
SCRNITM#rprsntnBzmanNm,Representative name
SCRNITM#rprsntnPhone,representative phone
SCRNITM#rprsnttvCntctPrhbt,Representing Telephone Contact Prohibition Distinction
SCRNITM#rprsnttvIdTelNbr,Representing Identification Telephone Number
SCRNITM#rprsnttvIntrntnlNbr,Representing International Number
SCRNITM#rprsnttvSerialTelNbr,Representing Serial Telephone Number
SCRNITM#rprsnttvTelExchngNbr,Representing Telephone Exchange Number
SCRNITM#rprsnttvUnqID,Representative Unique ID
SCRNITM#rprsnttvUnqIdNbr,Representative Unique Identification Number
SCRNITM#rprsntvDtlTp,Representative detail type
SCRNITM#rprsntvId,Representative ID
SCRNITM#rprsntvYn,Representing YN
SCRNITM#rpsntvIdNbr,Representative ID. Number
SCRNITM#rpsntvNm,Repersentative Name
SCRNITM#rpyblAmt,Repayable Amount
SCRNITM#rpyblInt,Repayable Interest
SCRNITM#rpyblPrncpl,Repayable Principal
SCRNITM#rpyblTotAmt,Repayable Total Amount
SCRNITM#rpymntAcct,Repayment Account
SCRNITM#rpymntAmntOfLnAplctn,Repayment Amount of Loan Application
SCRNITM#rpymntAmt,Repayment Amount
SCRNITM#rpymntAmtMnth,Repayment Amount (Monthly)
SCRNITM#rpymntCdAfPrtlRpymnt,Repayment Code After Partial Repayment Code
SCRNITM#rpymntCncltn,Repayment cancellation
SCRNITM#rpymntCycl,Repayment Cycle
SCRNITM#rpymntCyclNbr,Repayment Cycle Number
SCRNITM#rpymntDstnctn,Repayment Distinction
SCRNITM#rpymntDt,Repayment Date
SCRNITM#rpymntIn7days,Rempayment in 7days
SCRNITM#rpymntMthd,Repayment Method
SCRNITM#rpymntPrncpl,Repayment Principal
SCRNITM#rpymntSchdl,Repayment schedule
SCRNITM#rpymntSchdlSample,Repayment schedule
SCRNITM#rpymntSchdldAmt,Repayment Scheduled Amount
SCRNITM#rpymntSchdldAmtInqry,Repayment scheduled amount inquiry
SCRNITM#rpymntSchdldAttr,Repayment Scheduled Attribute
SCRNITM#rpymntSchdldDt,Repayment Scheduled Date
SCRNITM#rpymntSts,Repayment Status
SCRNITM#rpymntTpDscd,Repayment Type
SCRNITM#rpymntTrmUnit,Repayment Term Unit
SCRNITM#rpymntTxCntnt,
SCRNITM#rpymntTxDt,Repayment Transaction Date
SCRNITM#rpymntWayCd,Repayment Way Distinction Code
SCRNITM#rpymntin7d,Repayment in 7 days
SCRNITM#rpynw,Repay Now
SCRNITM#rqer,Requester
SCRNITM#rqerNm,Requester Name
SCRNITM#rqrdDocs,Required Documents
SCRNITM#rqstAmt,Request Amount
SCRNITM#rqstAuth,Request Authentication
SCRNITM#rqstChnlDscd,Request Channel Distinction
SCRNITM#rqstDept,Request Department
SCRNITM#rqstDt,Request Date
SCRNITM#rqstEndDt,Request End Date
SCRNITM#rqstId,Request ID
SCRNITM#rqstPurpose,Request purpose
SCRNITM#rqstRsn,Request Reason
SCRNITM#rqstRspnsDscd,Request Response Distinction
SCRNITM#rqstStartDt,Request Start Date
SCRNITM#rqstTm,Request Time
SCRNITM#rsdncDscd,residence distinction code
SCRNITM#rsdncLctn,Residence Location
SCRNITM#rsdncLctnI,Residential Location
SCRNITM#rsdncyNtn,Residency Nation
SCRNITM#rsdntDscd,resident distinction
SCRNITM#rsdntlLctn,Residential Location
SCRNITM#rsltAmt,Result Amount
SCRNITM#rsltCnt,Result Count
SCRNITM#rsltDtlFee,Detail Fee
SCRNITM#rsltDtlIntRt,Detail Interest Rate
SCRNITM#rsltDtlVw,Result detail view
SCRNITM#rsltOfAcctBlck,Result of Account Blocking
SCRNITM#rsltOfAlctngCsh,Result of Allocating Cash
SCRNITM#rsltOfBuygCash,Result of Buying Cash
SCRNITM#rsltOfBuygFrgncCrncy,Result of Buying Foreign Currency
SCRNITM#rsltOfClcltnRpymnt,Result of Calculating Repayment
SCRNITM#rsltOfClctngCsh,Result of Collecting Cash
SCRNITM#rsltOfClose,Result of Close
SCRNITM#rsltOfClsgLn,Result of Closing Loan
SCRNITM#rsltOfCnclngTx,Result of Cancelling Transaction
SCRNITM#rsltOfCshInOut,Result of Cash Vault In/Out
SCRNITM#rsltOfDocRvw,Result of Document Review
SCRNITM#rsltOfDpst,Result of Deposit
SCRNITM#rsltOfLnDsbrsmnt,Result of Loan Disbursement
SCRNITM#rsltOfLnRvw,Result of Loan Review
SCRNITM#rsltOfOpnAcct,Result of Open Account
SCRNITM#rsltOfRpyngLn,Result of Repaying Loan
SCRNITM#rsltOfSellgCash,Result of Selling Cash
SCRNITM#rsltOfSellgFrgncCrncy,Result of Selling Foreign Currency
SCRNITM#rsltOfSmltn,Result of Simulation
SCRNITM#rsltOfTmpryAcctClear,Result Of Temporary Account Clear
SCRNITM#rsltOfTrnsfr,Result of Transfer
SCRNITM#rsltOfWhdrwl,Result of Withdrawal
SCRNITM#rsn,Reason
SCRNITM#rsnForAprvl,Reason For Approval
SCRNITM#rspblPersonNm,Responsible Person Name
SCRNITM#rspnsWaiting,Response Waiting
SCRNITM#rsrvdTrnsfrDt,Reserved Transfer Date
SCRNITM#rsrvtnSndDt,Reservation Send Date
SCRNITM#rsrvtnTrnsfrDt,Reservation Transfer Date
SCRNITM#rsrvtnTrnsfrDtTm,Reserrvation Transfer Date Time
SCRNITM#rsrvtnTrnsfrTmDscd,Reservation Transfer Time Distinctioncode
SCRNITM#rstrctAmt,Amount Of Restriction
SCRNITM#rstrctRsn,Restriction Reason
SCRNITM#rstrctnCd,Restriction Code
SCRNITM#rstrctnCnd,Constraint Condition
SCRNITM#rstrctnDt,Restriction Date
SCRNITM#rstrctnEndDt,Restriction End Date
SCRNITM#rt,Rate
SCRNITM#rt2,Loan rate
SCRNITM#rtElement,Rate Element
SCRNITM#rtElmntList,Rate Element List
SCRNITM#rtFormula,Rate Formula
SCRNITM#rtMsurUnitDscd,RateMeasurementUnit DistinctionCode
SCRNITM#rtPer10000shares,Return Per 10000 shares
SCRNITM#rtPer1000shares,Return Per 1000 Shares
SCRNITM#rtTrmDscd,rate term distinction code
SCRNITM#rtTrmDstnctnCdDesc,※ Rate term distinction code: It is the interest rate term applied when interest calculated.
SCRNITM#rtndAmtCntrstDfrncAmt,Retained Amount Contrast Difference Amount
SCRNITM#rtndLmtCntrstDfrncAmt,Retained Limit Constrast Difference Amount
SCRNITM#rtnr,Returner
SCRNITM#rtnrT,Return(T+0)
SCRNITM#rtrmntDt,Retirement Date
SCRNITM#rtrnAmt,Return
SCRNITM#rtrnIntAmt,Return Interest
SCRNITM#rtrnRsnCd,Return Result
SCRNITM#rtrnYn,return yn
SCRNITM#rule,rule
SCRNITM#ruleCntnt,Rule Content
SCRNITM#ruleInfo,Rule Info.
SCRNITM#rulePrcsTpCd,Rule Process Type Code
SCRNITM#ruleResult,Rule Result
SCRNITM#ruleType,Rule Type
SCRNITM#runCentercut,Run Centercut
SCRNITM#runCnfrm,Do you want to run it?
SCRNITM#ruseAbl,reusable
SCRNITM#rvctnAttr,Revocation Attribute
SCRNITM#rvctnDate,Revocation Date
SCRNITM#rvctnDept,Revocation Department
SCRNITM#rvctnDt,Revocation Date
SCRNITM#rvctnHms,Revocation Time
SCRNITM#rvctnRsn,Restriction Reason
SCRNITM#rvctnRsnCntnt,Revocation Reason Content
SCRNITM#rvctnRsnTp,Revocation Reason Type
SCRNITM#rvctnStaff,Revocation Staff
SCRNITM#rvctnYn,Revocation YN
SCRNITM#rvlvngAgrmntBillRt,Revolving Agreement Bill Rate
SCRNITM#rvlvngMemberYn,Revolving Member Yn
SCRNITM#rvwr,reviewer
SCRNITM#rvwrInfo,Reviewer Information
SCRNITM#sadfsafa,asdfaf
SCRNITM#saleAcptncDt,SalesRcptnDt
SCRNITM#saleAmt,Sales Figures
SCRNITM#saleCorpNm,Sale Corporate Name
SCRNITM#saleDt,Sale Date
SCRNITM#saleEndDt,Sales End Date
SCRNITM#saleItm,Sale Item
SCRNITM#saleLnLmtAgrmnt,Sale Loan Limit Agreement
SCRNITM#saleStDt,Sale Start Date
SCRNITM#saleStartDt,Sale Start Date
SCRNITM#saleTotAmt,sales Total Amt
SCRNITM#saleUseAgrmnt,Sale Use Agreement
SCRNITM#saleableAmt,Saleable Amount
SCRNITM#salesAmt,Sales Amount
SCRNITM#salesDt,SalesDt
SCRNITM#salesRcvDt,
SCRNITM#salesTotAmt,
SCRNITM#sample_title,sample_title
SCRNITM#saveAplySeq,Save Apply Sequence
SCRNITM#saveCndSeq,Save Condition Sequence
SCRNITM#sbcsrbWMPwthdrw,The subscribe on {0} was withdrawed,
SCRNITM#sbscrb,Subscribe
SCRNITM#sbscrbEndDt,Subscribe End Date
SCRNITM#sbscrbStartDt,Subscribe Start Date
SCRNITM#sbscrbd,Subscribed
SCRNITM#sbstttPriceBaseDt,Substitute Price Base Date
SCRNITM#sbtrctnAmt,Subtraction Amount
SCRNITM#scanBtn,Scan
SCRNITM#scanMsg,Scan qrcode or barcode
SCRNITM#schTrnsfrInfo,{0} will be transferred monthly({1}) from the {2} card.
SCRNITM#schdl,Schedule
SCRNITM#schdlTpCd,Schedule Type Code
SCRNITM#schdldTrnsfr,Transfer Schedule
SCRNITM#schedule_trnsfr,Transfer Schedule
SCRNITM#screenSave,Do you want to save ?
SCRNITM#scrnAcsAthrty,Screen Access Authority
SCRNITM#scrnAuth,Screen authority
SCRNITM#scrnChngAbl,Possible To Change Screen
SCRNITM#scrnDsplyRule,Screen Display Rule
SCRNITM#scrnDtl,screen detail
SCRNITM#scrnFldList,Screen Field List
SCRNITM#scrnId,Screen Idenfication
SCRNITM#scrnInp,Screen Input
SCRNITM#scrnInpFldVrtnTpCd,Screen Input Field Variation Type
SCRNITM#scrnList,Screen List
SCRNITM#scrnNm,Screen Name
SCRNITM#scrnSrch,Screen Search
SCRNITM#scrnSrchRslt,Screen Search Result
SCRNITM#scrnTp,Screen Type
SCRNITM#scrtyCheckRsltTpCd,Security Check Result Type Code
SCRNITM#scrtyIntCntnt,security Interest Content
SCRNITM#scrtyIntDt,Security Interest Date
SCRNITM#scrtyIntInfo,Security Interest Information
SCRNITM#scrtyIntInqry,Security Interest Inquiry
SCRNITM#scrtyIntRgstrn,security interest registration
SCRNITM#scrtyIntStsDt,Security Interest Status Date
SCRNITM#scrtyIntTpCd,Security Interest Type Code
SCRNITM#scrtyQ&A,Security Question and Answer
SCRNITM#scrtyQstnCnfgr,Security question configuration
SCRNITM#scrtySrvc,Security Service
SCRNITM#scsflBid,Successful Bid
SCRNITM#sctnEndDt,Section End Date
SCRNITM#sctnStartDt,Section Start Date
SCRNITM#scu100-custId,CustomerID
SCRNITM#scu100-custNm,CustomerName
SCRNITM#scu100-custSrchCrtrCd,Conditions
SCRNITM#scu100-custUnqIdNbr,CustomerUniqueNumber
SCRNITM#scu100-tranrDscd,CustomerDsCode
SCRNITM#search,Search
SCRNITM#search-detail,View more
SCRNITM#searchCnd,Search Condition
SCRNITM#searchDeptList,Search department list
SCRNITM#searchDeptTree,Search department tree
SCRNITM#searchDscn,Search Distinction
SCRNITM#searchInfo,Please, use the search button instead of typing.
SCRNITM#secondSrc,2nd Source
SCRNITM#securedDebtCnfrmtnDt,Secured Debt Confirmation Date
SCRNITM#securedDebtCnfrmtnTpCd,Secured Debt Confirmation Type Code
SCRNITM#securityMgt,Security Mgt
SCRNITM#seeMore,See More
SCRNITM#selAddr,Select Address
SCRNITM#selamt,
SCRNITM#select,Select
SCRNITM#select-language,Select Language
SCRNITM#selectLnAcct,Select Loan Account
SCRNITM#selectRoleTmplt,Please choose department role template.
SCRNITM#selectRowCopy,Select Row Copy
SCRNITM#selectStaff,Please select staff to inquire staff information.
SCRNITM#selectedScrnMove,SCRN Move
SCRNITM#self,Self
SCRNITM#selfChnlAcctgDept,Self Channel Accounting Department
SCRNITM#selfChnlAcctgDeptDesc,※ Self Channel Accounting Department: If self channel accounting department process distinction is 'designated department', a department must be designated.
SCRNITM#selfChnlAcctgDeptDsDesc,※ Self Channel Accounting Department Process Distinction: Decide whether to apply customer management department or designated department when accounting in self channel transaction.l
SCRNITM#selfChnlAcctgDeptPrcsDs,Self Channel Accounting Department Process Distinction
SCRNITM#selfChnlAcctgDeptPrcsDscd,Self Channel Accounting Department Process Distiction
SCRNITM#selfChnlCustMgmtDept,Self Channel Customer Management Department
SCRNITM#selfChnlCustMgmtDeptId,Self Channel Customer Management Department When Registration
SCRNITM#selfChnlSesnCd,Self Channel Session
SCRNITM#selfChnlSession,Self Channel Session
SCRNITM#sell,Sell
SCRNITM#sell/buy,Sell / Buy
SCRNITM#sellEdDt,sales end date
SCRNITM#sellable,Available
SCRNITM#sendAuthSMS,Send Authentication Sms
SCRNITM#seqNbr,Sequence Number
SCRNITM#session,Session
SCRNITM#setAcctNbr,Enter account number.
SCRNITM#setBizInfo,Business information settings
SCRNITM#setInst,setting institution
SCRNITM#setNewLoginPwd,Please enter your new password.
SCRNITM#setPswd,Password
SCRNITM#setPwdCnfrm,Confirm
SCRNITM#setTxPswd,Set Transaction Password
SCRNITM#setTxPswdCntnt,Enter The Password To Be Used For Transfers And Loan Deals, 6 to 20 digits .
SCRNITM#setTxPwd,Please set your Trans PWD
SCRNITM#settingImg,Setting Image
SCRNITM#settingImgAtrbt,Setting Image Attribute
SCRNITM#settingPymnt,Setting Payment
SCRNITM#settingTrgtInstNm,Target Institution Name
SCRNITM#settingVal,Setting Value
SCRNITM#settlementParam,Settlement Parameter
SCRNITM#shadow,Shadow
SCRNITM#shadowColor,Shadow Color
SCRNITM#shopOwnDscd,Owned Shop Scale
SCRNITM#showProcessingStatus,Show Processing Status
SCRNITM#shrnTpDscd,Sharing Type Distinction
SCRNITM#shrnTrgtDscd,Sharing Target Distinction
SCRNITM#signUp,Sign Up
SCRNITM#signUp2,Sign Up
SCRNITM#signUpGuide,You have to join to use P2P Platform. Your own payment account is automatically created after you join the platform. After join, You have to pass through authentication process for investment or loan application.
SCRNITM#simulApply,simul Apply
SCRNITM#simulate,Simulate
SCRNITM#singleBrwrCrdtLmtAmt,Credit Limit Amount
SCRNITM#singleBrwrCrdtLmtSpareAmt,Credit Limit Spare Amount
SCRNITM#singleBrwrCrdtLnAmt,Credit Loan Amount
SCRNITM#singleBrwrGrntAmt,Guarantee Amount
SCRNITM#singleBrwrGrntLmtAmt,Guarantee Limit Amount
SCRNITM#singleBrwrGrntLmtSpareAmt,Guarantee Limit Spare Amount
SCRNITM#singleBrwrTotLmtAmt,Total Limit Amount
SCRNITM#singleBrwrTotLmtSpareAmt,Total Limit Spare Amount
SCRNITM#singleBrwrTotLnAmt,Total Loan Amount
SCRNITM#siteLbrtryDscd,Site LaboratoryDistinction
SCRNITM#siteVisitDt,Site Visit Date
SCRNITM#skpVldtn,Skip Validation
SCRNITM#slctListCnd,Select List Condition
SCRNITM#slctdItmAllAprvl,selected item all approval
SCRNITM#slctdItmAllDsprvl,selected item all disapproval
SCRNITM#slctdItmAllRjct,selected item all reject
SCRNITM#slipDscd,Slip Print
SCRNITM#slipDstnctn,Slip Distinction
SCRNITM#slipNbr,Slip No.
SCRNITM#slipOcrDscd,Slip occurrence Distinction
SCRNITM#smallDpstAmt,Small Deposit Amount
SCRNITM#smartDpst,Smart Deposit
SCRNITM#smlt,Simulate
SCRNITM#smltFee,Simulate Fee
SCRNITM#smltn,Simulation
SCRNITM#smltnDt,Simulation Date
SCRNITM#smltnIntRt,Simulation Interest Rate
SCRNITM#smltnSaleAmt,Simulation Sale Amount
SCRNITM#smry,Summary
SCRNITM#smryColumnDesc,Summary Column Description
SCRNITM#smsAuth,SMS Authentication
SCRNITM#smtnTrgtTxDscd,Summation Target Transaction Distinction
SCRNITM#sndDt,Send Date
SCRNITM#sndMediaTpCd,Send Media Type Code
SCRNITM#sndRcvDscd,Send Receive Distinction
SCRNITM#sndRcvDstnctn,Send Receive Distinction
SCRNITM#sndRcvTrgtDscd,Send Receive Target Distinction
SCRNITM#sndRcvTrgtDstnctn,Send Receive Target Distinction
SCRNITM#sndRcvdDscd, Sending and receiving Distinction
SCRNITM#sndTrgtTpDscd,Sending Target Type Distinction
SCRNITM#sngl,Single
SCRNITM#snpshtDt,Snapshot Date
SCRNITM#spareLimitInfo,Spare Limit Information
SCRNITM#spcfcTireAply,Specific Tier Apply
SCRNITM#specialBondRprtngDscd,Special Bond Reporting Distinction
SCRNITM#specialChar,Special Character
SCRNITM#specialRpymntDscd,Special Repayment Distinction
SCRNITM#splyChnFnncLmtAgrmnt,Supply Chain Finance Limit Agreement
SCRNITM#splyChnFnncLnLmtAplctnCntnt,
SCRNITM#splyChnFnncLnLmtAplctnDtls,Supply Chain Finance Loan Limit Application Details
SCRNITM#splyChnFnncTxAgrmntAgree, splyChnFnncTxAgrmntAgree  Supply Chain Finance Transaction Agreement Agree
SCRNITM#splyChnFnncTxDscd,Supply Chain Finance Transaction Distinction Code
SCRNITM#spnsAcctChngDscd,Suspense Account Change Distinction
SCRNITM#spnsAcctPrcsngDscd,
SCRNITM#spnsDt,Suspense Date
SCRNITM#spouseAnlzdIncomeAmt,Spouse Annualized Income Amount
SCRNITM#spouseBizIncomeAmt,Spouse Business Income Amount
SCRNITM#spouseIncomeInfo,Spouse Income Information
SCRNITM#spouseLbltyInfo,Spouse liability Information
SCRNITM#spouseLbrIncomeAmt,Spouse Labor Income Amount
SCRNITM#spouseLeaseIncomeAmt,Spouse Lease Income Amount
SCRNITM#spouseOthrIncomeAmt,Spouse Other Income Amount
SCRNITM#spouseTotIncomeAmt,Spouse Total Income Amount
SCRNITM#sprdAplyFormula,Spread Apply Formula
SCRNITM#sprdInfo,Spread Infomation
SCRNITM#sprdRt,Spread Rate
SCRNITM#sprfcsSettingDt,Superficies Setting Date
SCRNITM#spvsr,Supervisor
SCRNITM#spvsrAthrznDscd,Supervisor Authentication Distinction
SCRNITM#spvsrAthrznTxYn,Supervisor Authorization Transaction Yn
SCRNITM#spvsrDept,Supervisor Department
SCRNITM#spvsrDeptId,Supervisor Department ID
SCRNITM#spvsrList,Supervisor List
SCRNITM#spvsrStaffIdCntnt,Supervisor Staff Content
SCRNITM#sql-generate-msg,Would you like to change the SQL? Existing created SQL (Mysql, Oracle) will disappear.
SCRNITM#srchAddr,Search Address
SCRNITM#srchAsmItmTblRslt,Search Assessment Item Table List
SCRNITM#srchCnd,search conditon
SCRNITM#srchCrtr,Search Criteria
SCRNITM#srchCust,Search Customer
SCRNITM#srchRslt,Search Result
SCRNITM#srchRsltDtl,Search result deail
SCRNITM#srchTp,Search type
SCRNITM#srvc,Service
SCRNITM#srvcAcsAthrty,Service Access Authority
SCRNITM#srvcBlckngAmt,Service Blocking Amount
SCRNITM#srvcBlckngAtrbt,Service blocking Atribute
SCRNITM#srvcBlckngCd,Service Blocking Code
SCRNITM#srvcBlckngCdList,Service blocking list
SCRNITM#srvcBlckngCntnts,Service Blocking Contents
SCRNITM#srvcBlckngCrncy,Service Blocking Currency
SCRNITM#srvcBlckngInfo,Service Blocking Information
SCRNITM#srvcBlckngNm,Service blocking name
SCRNITM#srvcBlckngSeq,Service Blocking Sequence
SCRNITM#srvcBlckngSts,Service Blocking Status
SCRNITM#srvcBlckngTp,Service Blocking Type
SCRNITM#srvcBlckngTrgtBizDscdInfo,Service Blocking target Business Distinction information
SCRNITM#srvcCd,Service Code
SCRNITM#srvcCmpnt,Service Component
SCRNITM#srvcCmpnt2,Service Component
SCRNITM#srvcInfo,Service Information
SCRNITM#srvcInpItm,Service Input Item
SCRNITM#srvcInpVldtnMndtry,Service Input Validation Mandatory
SCRNITM#srvcInpVldtnMndtryYn,Service Input Validation Mandatory Yn
SCRNITM#srvcList,Service List
SCRNITM#srvcNm,Service Name
SCRNITM#srvcOutpItm,Service Output Item
SCRNITM#srvcPopup,Service Code Popup
SCRNITM#srvcPrfl,Service Profile
SCRNITM#srvcPrflAtrbt,Service Profile Attribute
SCRNITM#srvcPrflList,Service Profile List
SCRNITM#srvcPrflSave,Do you want to add service profile?
SCRNITM#srvcRstrctnCd,Service Limit Code
SCRNITM#srvcRstrctnEndDtm,Service Restriction End Date Time
SCRNITM#srvcRstrctnEndTmstmp,Service Restriction End Timestamp
SCRNITM#srvcRstrctnStartDtm,Service Restriction Start Date Time
SCRNITM#srvcRstrctnStartTime,Service Restriction Start Timestamp
SCRNITM#srvcRule,Service Display Rule
SCRNITM#srvcSrchRslt,Service Search Result
SCRNITM#srvcSts,Service Status
SCRNITM#srvcTpCd,Service type Code
SCRNITM#srvcTpNm,Service type name
SCRNITM#srvcTrgtArrSrvcTpInfo,Service Blocking target arrangement service type atribute
SCRNITM#srvcTrgtArrSrvcTpList,Service Blocking target arrangement service type list
SCRNITM#staff,Staff
SCRNITM#staffAmt,Staff Amont
SCRNITM#staffEmplymntTpCd,staff employment type code
SCRNITM#staffGridRslt,Staff classification by staff
SCRNITM#staffGrp,Staff Group
SCRNITM#staffId,Staff ID
SCRNITM#staffList,Staff List
SCRNITM#staffLoinId,Staff Login Id
SCRNITM#staffNm,Staff Name
SCRNITM#staffPswdChngRsnCd,Staff Password Change Reason Code
SCRNITM#staffRoleAttr,Staff Role Attribute
SCRNITM#staffRoleHistory,Staff Role History
